0.981 (+/-0.002) for {'gamma': 0.01, 'C': 1000, 'degree': 7, 'kernel': 'poly'}
0.856 (+/-0.005) for {'gamma': 0.001, 'C': 1000, 'degree': 7, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 1000, 'degree': 7, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1000, 'degree': 7, 'kernel': 'poly'}

0.981 (+/-0.002) for {'gamma': 0.1, 'C': 1000, 'degree': 8, 'kernel': 'poly'}
0.981 (+/-0.002) for {'gamma': 0.01, 'C': 1000, 'degree': 8, 'kernel': 'poly'}
0.722 (+/-0.003) for {'gamma': 0.001, 'C': 1000, 'degree': 8, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 1000, 'degree': 8, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1000, 'degree': 8, 'kernel': 'poly'}

0.980 (+/-0.002) for {'gamma': 0.1, 'C': 1000, 'degree': 9, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 1000, 'degree': 9, 'kernel': 'poly'}
0.650 (+/-0.002) for {'gamma': 0.001, 'C': 1000, 'degree': 9, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 1000, 'degree': 9, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1000, 'degree': 9, 'kernel': 'poly'}

0.980 (+/-0.001) for {'gamma': 0.1, 'C': 1000, 'degree': 10, 'kernel': 'poly'}
0.980 (+/-0.001) for {'gamma': 0.01, 'C': 1000, 'degree': 10, 'kernel': 'poly'}
0.623 (+/-0.003) for {'gamma': 0.001, 'C': 1000, 'degree': 10, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 1000, 'degree': 10, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 1000, 'degree': 10, 'kernel': 'poly'}

0.972 (+/-0.002) for {'gamma': 0.1, 'C': 10000, 'degree': 1, 'kernel': 'poly'}
0.972 (+/-0.002) for {'gamma': 0.01, 'C': 10000, 'degree': 1, 'kernel': 'poly'}
0.974 (+/-0.002) for {'gamma': 0.001, 'C': 10000, 'degree': 1, 'kernel': 'poly'}
0.974 (+/-0.002) for {'gamma': 0.0001, 'C': 10000, 'degree': 1, 'kernel': 'poly'}
0.974 (+/-0.002) for {'gamma': 1e-05, 'C': 10000, 'degree': 1, 'kernel': 'poly'}

0.979 (+/-0.001) for {'gamma': 0.1, 'C': 10000, 'degree': 2, 'kernel': 'poly'}
0.979 (+/-0.001) for {'gamma': 0.01, 'C': 10000, 'degree': 2, 'kernel': 'poly'}
0.979 (+/-0.001) for {'gamma': 0.001, 'C': 10000, 'degree': 2, 'kernel': 'poly'}
0.974 (+/-0.002) for {'gamma': 0.0001, 'C': 10000, 'degree': 2, 'kernel': 'poly'}
0.853 (+/-0.003) for {'gamma': 1e-05, 'C': 10000, 'degree': 2, 'kernel': 'poly'}

0.980 (+/-0.001) for {'gamma': 0.1, 'C': 10000, 'degree': 3, 'kernel': 'poly'}
0.980 (+/-0.001) for {'gamma': 0.01, 'C': 10000, 'degree': 3, 'kernel': 'poly'}
0.980 (+/-0.001) for {'gamma': 0.001, 'C': 10000, 'degree': 3, 'kernel': 'poly'}
0.913 (+/-0.002) for {'gamma': 0.0001, 'C': 10000, 'degree': 3, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10000, 'degree': 3, 'kernel': 'poly'}

